Zip_ID,Metadata,Ngram1,Ngram2,Ngram3,OCR
001,29073,29071,29070,29070,29067
002,28891,28893,28893,28892,28895
004,29038,29038,29040,29038,29039
005,29202,29201,29197,29196,29192
006,28884,28883,28887,28890,28894
007,29147,29146,29144,29144,29144
008,29066,29065,29064,29062,29062
009,28902,28906,28907,28907,28907
010,29244,29250,29250,29248,29245
011,29066,29064,29065,29069,29070
013,28989,28986,28989,28989,28989
014,21478,21482,21484,21489,21490
