publication_title,print_identifier,title_url,primary_subject,full_coverage,0,1,2,3,4,5,6,7,8,9,date_first_issue_online,date_last_issue_online,parent_publication_title_id,preceding_publication_title_id,
Newsletter (Association for Political and Legal Anthropology),2469-7028,http://www.jstor.org/journal/newsassopolilega,Anthropology,1977-02-01 - 1986-11-01,Anthropology,Law,Law,Social Sciences,,,,,,,2/1/1977 0:00,1986,aplanews,,
Newsletter (Commission on Nomadic Peoples),0822-7934,http://www.jstor.org/journal/newscommnomapeop,Anthropology,1979-09-01 - 1979-12-31,Anthropology,Social Sciences,,,,,,,,,9/1/1979 0:00,1979,nomadicpeoples,,
Newsletter (Museum Ethnographers Group),0260-0366,http://www.jstor.org/journal/newsmuseumethn,Anthropology,1976-07-19 - 1988-08-01,Anthropology,Social Sciences,,,,,,,,,7/19/1976 0:00,1988,,,
Nomadic Peoples,0822-7942,http://www.jstor.org/journal/nomadicpeoples,Anthropology,1980-01-01 - 2014-01-01,Anthropology,Social Sciences,,,,,,,,,1/1/1980 0:00,2014,,newscommnomapeop,
Oceania,0029-8077,http://www.jstor.org/journal/oceania,Anthropology,1930-04-01 - 2012-11-01,Anthropology,Area Studies,Asian Studies,Social Sciences,,,,,,,4/1/1930 0:00,2012,,,
Plains Anthropologist,0032-0447,http://www.jstor.org/journal/plainanthro,Anthropology,1954-05-01 - 2010-11-01,Anthropology,Social Sciences,,,,,,,,,5/1/1954 0:00,2010,,plaiarchconfnews,
Political and Legal Anthropology Review,1081-6976,http://www.jstor.org/journal/polilegaanthrevi,Anthropology,1993-01-01 - 2010-11-01,Anthropology,Law,Law,Social Sciences,,,,,,,1/1/1993 0:00,2010,,apla,
Practicing Anthropology,0888-4552,http://www.jstor.org/journal/pracanth,Anthropology,1978-01-01 - 2012-10-01,Anthropology,Social Sciences,,,,,,,,,1/1/1978 0:00,2012,,,
Proceedings of the Royal Anthropological Institute of Great Britain and Ireland,0080-4169,http://www.jstor.org/journal/procroyaanthinst,Anthropology,1965-01-01 - 1973-01-01,Anthropology,Social Sciences,,,,,,,,,1/1/1965 0:00,1973,,,
Race/Ethnicity: Multidisciplinary Global Contexts,1935-8644,http://www.jstor.org/journal/racethmulglocon,Anthropology,2007-10-01 - 2011-10-01,Anthropology,Social Sciences,,,,,,,,,10/1/2007 0:00,2011,,,
RAIN,0307-6776,http://www.jstor.org/journal/rain,Anthropology,1974-04-01 - 1984-12-01,Anthropology,Social Sciences,,,,,,,,,4/1/1974 0:00,1984,anthtoda,,
RES: Anthropology and Aesthetics,0277-1322,http://www.jstor.org/journal/resanthroaesth,Anthropology,1981-04-01 - 2014-01-01,Anthropology,Art & Art History,Arts,Social Sciences,,,,,,,4/1/1981 0:00,2014,,,
Social Analysis: International Journal of Social and Cultural Practice,0155-977X,http://www.jstor.org/journal/socianalysis,Anthropology,1979-02-01 - 2014-12-01,Anthropology,Social Sciences,Sociology,,,,,,,,2/1/1979 0:00,2014,,,
Southwestern Journal of Anthropology,0038-4801,http://www.jstor.org/journal/soutjanth,Anthropology,1945-04-01 - 1972-12-01,Anthropology,Social Sciences,,,,,,,,,4/1/1945 0:00,1972,janthrese,newmexianthr,
Urban Anthropology,0363-2024,http://www.jstor.org/journal/urbananthro,Anthropology,1972-04-01 - 1984-12-01,Anthropology,Social Sciences,,,,,,,,,4/1/1972 0:00,1984,urbaanthstudcult,,
Urban Anthropology and Studies of Cultural Systems and World Economic Development,0894-6019,http://www.jstor.org/journal/urbaanthstudcult,Anthropology,1985-04-01 - 2014-12-01,Anthropology,Social Sciences,,,,,,,,,4/1/1985 0:00,2014,,urbananthro,
Advances in Archaeological Method and Theory,0162-8003,http://www.jstor.org/journal/advarchmeththeo,Archaeology,1978-01-01 - 1987-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1978 0:00,1987,archmeththeo,,
African Archaeological Review,0263-0338,http://www.jstor.org/journal/afriarchrevi,Archaeology,1983-01-01 - 2014-12-01,African Studies,Archaeology,Area Studies,Social Sciences,,,,,,,1/1/1983 0:00,2014,,,
American Antiquity,0002-7316,http://www.jstor.org/journal/ameranti,Archaeology,1935-07-01 - 2014-10-01,Anthropology,Archaeology,Social Sciences,,,,,,,,7/1/1935 0:00,2014,,,
American Journal of Archaeology,0002-9114,http://www.jstor.org/journal/amerjarch,Archaeology,1897-01-01 - 2014-10-01,Archaeology,Architecture & Architectural History,Art & Art History,Arts,Classical Studies,Humanities,Social Sciences,,,,1897-01-01,2014,,amerjarchhistfin,
Anatolian Studies,0066-1546,http://www.jstor.org/journal/anatolianstudies,Archaeology,1951-01-01 - 2014-01-01,Archaeology,Area Studies,Middle East Studies,Social Sciences,,,,,,,1/1/1951 0:00,2014,,,
Ancient Mesoamerica,0956-5361,http://www.jstor.org/journal/ancimeso,Archaeology,1990-04-01 - 2012-10-01,Archaeology,Social Sciences,,,,,,,,,4/1/1990 0:00,2012,,,
Ancient Society,0066-1619,http://www.jstor.org/journal/ancientsociety,Archaeology,1970-01-01 - 2012-01-01,Archaeology,Classical Studies,Humanities,Social Sciences,,,,,,,1/1/1970 0:00,2012,,,
Annual of the American Schools of Oriental Research,0066-0035,http://www.jstor.org/journal/annuamerschoorie,Archaeology,1922-01-01 - 2013-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1922 0:00,2013,,annuamerschoori2,
Annual of the British School at Athens,0068-2454,http://www.jstor.org/journal/annubritschoathe,Archaeology,1894-01-01 - 2014-01-01,Archaeology,Classical Studies,Humanities,Social Sciences,,,,,,,1894-01-01,2014,,,
Archaeologia Austriaca,0003-8008,http://www.jstor.org/journal/archaeologiaaust,Archaeology,2002-01-01 - 2016-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/2002 0:00,2016,,,
Archaeological Method and Theory,1043-1691,http://www.jstor.org/journal/archmeththeo,Archaeology,1989-01-01 - 1993-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1989 0:00,1993,jarchmeththeo,advarchmeththeo,
Archaeological Reports,0570-6084,http://www.jstor.org/journal/archrepo,Archaeology,1954-01-01 - 2014-01-01,Archaeology,Social Sciences,,,,,,,,,1/1/1954 0:00,2014,,,
Archaeology,0003-8113,http://www.jstor.org/journal/archaeology,Archaeology,1948-03-01 - 2015-11-01,Archaeology,Social Sciences,,,,,,,,,3/1/1948 0:00,2015,,,
Archaeology & Physical Anthropology in Oceania,0728-4896,http://www.jstor.org/journal/archphyanthoce,Archaeology,1966-04-01 - 1980-12-31,Anthropology,Archaeology,Area Studies,Asian Studies,Social Sciences,,,,,,4/1/1966 0:00,1980,archoceania,,
Archaeology in Oceania,0003-8121,http://www.jstor.org/journal/archoceania,Archaeology,1981-04-01 - 2012-10-01,Anthropology,Archaeology,Area Studies,Asian Studies,Social Sciences,,,,,,4/1/1981 0:00,2012,,archphyanthoce,
Archaeology Ireland,0790-892X,http://www.jstor.org/journal/archirel,Archaeology,1987-09-01 - 2018-03-01,Archaeology,Social Sciences,,,,,,,,,9/1/1987 0:00,2018,,,
Archaeology of Eastern North America,0360-1021,http://www.jstor.org/journal/archeastnortham,Archaeology,1973-04-01 - 2014-01-01,Archaeology,Social Sciences,,,,,,,,,4/1/1973 0:00,2014,,,
Athenian Agora,1558-8610,http://www.jstor.org/journal/athenianagora,Archaeology,1953-01-01 - 2013-01-01,Archaeology,Art & Art History,Arts,Classical Studies,Humanities,Social Sciences,,,,,1/1/1953 0:00,2013,,,
Australian Archaeology,0312-2417,http://www.jstor.org/journal/austarch,Archaeology,1974-11-01 - 2013-12-01,Archaeology,Social Sciences,,,,,,,,,11/1/1974 0:00,2013,,,
Australian Journal of Historical Archaeology,0810-1868,http://www.jstor.org/journal/austjhistarchae,Archaeology,1983-01-01 - 1991-01-01,Archaeology,Area Studies,Asian Studies,Social Sciences,,,,,,,1/1/1983 0:00,1991,austhistarch,,
Biblical Archaeologist,0006-0895,http://www.jstor.org/journal/biblarch,Archaeology,1938-02-01 - 1997-12-01,Archaeology,Humanities,Religion,Social Sciences,,,,,,,2/1/1938 0:00,1997,neareastarch,,
Britannia,0068-113X,http://www.jstor.org/journal/britannia,Archaeology,1970-01-01 - 2014-01-01,Archaeology,Classical Studies,Humanities,Social Sciences,,,,,,,1/1/1970 0:00,2014,,,
