2019-03-03 06:15:44 INFO     Connecting to DB
2019-03-03 06:15:45 INFO     Processing Mapping
2019-03-03 06:15:45 INFO     Loading File Set: [006]
2019-03-03 06:15:45 INFO     --> Total Files [28880]
2019-03-03 06:15:45 INFO     --> Detect Loaded [28785], Resume Mapping
2019-03-03 06:15:45 INFO     Async Processing
2019-03-03 06:15:45 INFO     Collecting Results
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_350690]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_350709]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_41844295]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_41844738]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_44243067]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.1525_si.1995.18.1.cover]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_41484860]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_3012633]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_41843887]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_24490833]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_43940352]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_41844020]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_41304559]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_1385044]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.1525_si.1993.16.4.cover]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_351952]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_1387633]
2019-03-03 06:15:45 WARNING  [Exception] => [division by zero] - [FileSetID: 006], [FileID: 10.2307_43294347]
