2019-03-03 06:16:19 INFO     Connecting to DB
2019-03-03 06:16:20 INFO     Processing Mapping
2019-03-03 06:16:20 INFO     Loading File Set: [002]
2019-03-03 06:16:20 INFO     --> Total Files [28889]
2019-03-03 06:16:20 INFO     --> Detect Loaded [28786], Resume Mapping
2019-03-03 06:16:20 INFO     Async Processing
2019-03-03 06:16:20 INFO     Collecting Results
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_350635]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.1525_si.1999.22.4.cover]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_24719532]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_23745446]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_24179117]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41514543]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41514622]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41800806]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_43610996]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41838032]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_24719383]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_43294435]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41489956]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_350639]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_351506]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_353304]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_43294334]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_24720313]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.1525_si.1989.12.2.cover]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_24206464]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_24490917]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41514568]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41840555]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_23891364]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_43294352]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_351947]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41843372]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41843839]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41931504]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_351533]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.1525_si.1991.14.4.cover]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_24178478]
2019-03-03 06:16:20 WARNING  [Exception] => [division by zero] - [FileSetID: 002], [FileID: 10.2307_41960729]
