2019-03-03 06:14:03 INFO     Connecting to DB
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41495701]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_42844273]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_351957]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_20851541]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_44815791]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_23745987]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41845165]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_23413005]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_350615]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_1387630]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41845383]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_43294943]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41328574]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_24175984]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_43697710]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_24720866]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41800785]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_351928]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41929316]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_3013304]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41069882]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_44816947]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_44815773]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41844415]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_42629847]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_44713615]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41132966]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41844251]
2019-03-03 06:14:04 WARNING  [Exception] => [division by zero] - [FileSetID: 010], [FileID: 10.2307_41800712]
