2019-03-03 06:17:40 INFO     Connecting to DB
2019-03-03 06:17:41 INFO     Processing Mapping
2019-03-03 06:17:41 INFO     Loading File Set: [008]
2019-03-03 06:17:41 INFO     --> Total Files [29055]
2019-03-03 06:17:43 INFO     --> Detect Loaded [26175], Resume Mapping
2019-03-03 06:17:43 INFO     Async Processing
2019-03-03 06:17:43 INFO     Collecting Results
2019-03-03 06:20:07 INFO     --> Processed: 26275; Average Time: 1.4376581168174745
2019-03-03 06:21:25 WARNING  [Exception] => [division by zero] - [FileSetID: 008], [FileID: 10.2307_41554392]
2019-03-03 06:21:44 INFO     --> Processed: 26375; Average Time: 1.2035259318351745
2019-03-03 06:23:37 INFO     --> Processed: 26475; Average Time: 1.1785339228312175
2019-03-03 06:25:22 INFO     --> Processed: 26575; Average Time: 1.1463109260797502
2019-03-03 06:26:16 INFO     --> Processed: 26675; Average Time: 1.0264087629318237
2019-03-03 06:26:33 WARNING  [Exception] => [division by zero] - [FileSetID: 008], [FileID: 10.2307_24719150]
2019-03-03 06:27:56 INFO     --> Processed: 26775; Average Time: 1.02149444937706
2019-03-03 06:27:59 WARNING  [Exception] => [division by zero] - [FileSetID: 008], [FileID: 10.2307_41960886]
2019-03-03 06:29:04 WARNING  [Exception] => [division by zero] - [FileSetID: 008], [FileID: 10.2307_24175900]
2019-03-03 06:29:54 INFO     --> Processed: 26875; Average Time: 1.0436479588917325
2019-03-03 06:30:52 INFO     --> Processed: 26975; Average Time: 0.9857059320807458
2019-03-03 06:32:44 INFO     --> Processed: 27075; Average Time: 1.001280202070872
2019-03-03 06:34:29 INFO     --> Processed: 27175; Average Time: 1.0058580305576323
2019-03-03 06:36:04 INFO     --> Processed: 27275; Average Time: 1.0011070052060214
2019-03-03 06:37:58 INFO     --> Processed: 27375; Average Time: 1.0122320286432902
2019-03-03 06:39:21 INFO     --> Processed: 27475; Average Time: 0.9980243380253132
2019-03-03 06:40:55 INFO     --> Processed: 27575; Average Time: 0.9941203212738037
2019-03-03 06:42:53 INFO     --> Processed: 27675; Average Time: 1.0067179446220398
2019-03-03 06:43:10 WARNING  [Exception] => [division by zero] - [FileSetID: 008], [FileID: 10.1525_si.1999.22.3.cover]
2019-03-03 06:44:13 WARNING  [Exception] => [division by zero] - [FileSetID: 008], [FileID: 10.2307_42851949]
2019-03-03 06:44:16 INFO     --> Processed: 27775; Average Time: 0.9953583893179894
2019-03-03 06:45:24 INFO     --> Processed: 27875; Average Time: 0.9769355329345254
2019-03-03 06:46:55 INFO     --> Processed: 27975; Average Time: 0.9731283087200588
2019-03-03 06:48:20 INFO     --> Processed: 28075; Average Time: 0.9668594864795083
2019-03-03 06:49:04 WARNING  [Exception] => [division by zero] - [FileSetID: 008], [FileID: 10.2307_41330501]
