acquisition
acquisitions
avoid
avoidance
avoided
avoiding
avoids
board,directors
boards,directors
buffer
buffered
buffering
buffers
business,association
business,associations
cartel
cartels
coalition
coalitions
compliance
comply
constrain
constrained
constraining
constraint
constraints
context
control
controlled
controlling
controls
cooperate
co,operate
cooperated
co,operated
cooperates
co,operates
cooperating
co,operating
cooperation
co,operation
coopt
co,opt
cooptation
co,optation
coopted
co,opted
coopting
co,opting
coopts
co,opts
depend
dependence
dependencies
dependency
dependent
director,interlocks
diversification
diversified
diversifies
diversify
diversifying
dominance
dominate
dominated
dominates
dominating
domination
effective
effectiveness
exchange
exchanges
exchanging
external
horizontal,expansion
horizontal,merger
horizontal,mergers
horizontally,merge
horizontally,merged
industry,association
industry,associations
influence
influenced
influences
influencing
influential
integrate,vertically
integrated,vertically
interdependence
interdependencies
interdependency
interdependent
interest,group
interest,groups
interfirm
interlock
interlocking,boards
interlocking,directorates
interlocking,directors
interlocks
interorganizational
joint,venture
joint,ventures
lobbied
lobbying
lobbyist
lobbyists
manage
managed
management
manager
managers
managing
merge
merged
merger
mergers
merging
network
networked
networking
networks
noncompliance
power
pressure
pressured
pressures
pressuring
reliance
relied
relies
rely
resource,dependence
resource,dependencies
sanction
sanctioned
sanctions
social,network
social,networks
success
symbol
symbolic
symbolism
trade,association
trade,associations
vertical,integration
vertical,merger
vertical,mergers
vertically,merge
vertically,merged
